,0
377,"お濠のその水近み風落ちしこの夜をふかみ声のすむらむ : 新井洸 『微明』, 0000, 1916"
378,"大土の深き眠りにちやうちやうと打ち入るかもよその鶴嘴を : 新井洸 『微明』, 0000, 1916"
379,"骨立ちて既に掘られし枕木にいかに冷たき夜の霜ならむ : 新井洸 『微明』, 0000, 1916"
380,"地上にはかんてらの灯のはだか灯のゆらゆら燃えて暗き夜ならし : 新井洸 『微明』, 0000, 1916"
381,"御影のかどある石に触れぬらむその手のひらよ霜のちまたに : 新井洸 『微明』, 0000, 1916"
382,"まがなしみ眼つぶれば枕の下とほどほにして声のさやけさ : 新井洸 『微明』, 0000, 1916"
383,"横になりてものを思へば肩さきのうすらに寒き夜となりにけり : 新井洸 『微明』, 0000, 1916"
384,"あかりさす障子あくれば秋ふかき夜庭のさむさ流れ入り来も : 新井洸 『微明』, 0000, 1916"
385,"花瓶の白菊かをる夜の寒さ肝油にしみし膚にかなしも : 新井洸 『微明』, 0000, 1916"
386,"このおほ地ほのぼの春の日に酔へり我がうつし身をいかがすべけむ : 新井洸 『微明』, 0000, 1916"
387,"ひとり身の嘆きをおもみ静かなる四月の空の滓を苦めり : 新井洸 『微明』, 0000, 1916"
388,"春の日の光おもたくひとり居る我が心臓にのしかかりたり : 新井洸 『微明』, 0000, 1916"
389,"ひとりを歯がみて堪ゆれ日輪の光はくろく煤けたるかな : 新井洸 『微明』, 0000, 1916"
390,"鼻血が出たるばかりに灯の前に心しほたれ眠らむと思ふ : 新井洸 『微明』, 0000, 1916"
391,"夜あけ近くやや冴えぬると肉身のいとあまりにもすなほなるかな : 新井洸 『微明』, 0000, 1916"
392,"小さなる地震ゆり景色との曇り我が気不精の虫がかぶれる : 新井洸 『微明』, 0000, 1916"
393,"むくつけき心のくらみ此ままに土の底にも入らむとぞ思ふ : 新井洸 『微明』, 0000, 1916"
394,"人の文けしうよごれて十日あり無慙のこころ筆を執らざる : 新井洸 『微明』, 0000, 1916"
395,"置き馴れし箪笥のあとのしらしらとあまり明るき秋の日ざしか : 新井洸 『微明』, 0000, 1916"
396,"移り来し荷の緒ちらばる家のうちに夕靄さぶくしのび来にけり : 新井洸 『微明』, 0000, 1916"
397,"疲れつつ冴ゆる心に灯くらく塵のくゆりの重く迷へり : 新井洸 『微明』, 0000, 1916"
398,"住み馴れぬ家ぬちの心いつ更けし青の寒さにをののきにけり : 新井洸 『微明』, 0000, 1916"
399,"空けし家の庭の椿のしろき塵こよひの雨に消えゆくらむか : 新井洸 『微明』, 0000, 1916"
400,"いかならむ人か棲みしとこの隈の釘をこじ抜く其根錆びたり : 新井洸 『微明』, 0000, 1916"
401,"たそがれと暮れゆく時を背のびして釘かしましく打つがわびしも : 新井洸 『微明』, 0000, 1916"
402,"襟ほそき御嶽行者の養ひ娘今は二十歳を越したるならむ : 新井洸 『微明』, 0000, 1916"
403,"いかばかり衰へはてし心かも御獄行者に占へしめけむ : 新井洸 『微明』, 0000, 1916"
404,"おのれを果敢なみ居たれ一年もたのみ難しと聞くに堪へめや : 新井洸 『微明』, 0000, 1916"
405,"おのが身をうれひはかなみ痴しきまどはし言にいや歎かひし : 新井洸 『微明』, 0000, 1916"
406,"罪止云布罪波不在[つみといふつみはあらじ]と奏す時男行者のこゑのよろしさ : 新井洸 『微明』, 0000, 1916"
407,"深川の路地の暗きを出でけらし行者の娘かほよかりしか : 新井洸 『微明』, 0000, 1916"
408,"病院の夜の廊下に佇める面会人か我が姿はも : 新井洸 『微明』, 0000, 1916"
409,"山ちかき夜の底冷え薬の香面会人はしづ心なし : 新井洸 『微明』, 0000, 1916"
410,"病院のさむき灯かげに白絹の一点のしみを悲しめりけり : 新井洸 『微明』, 0000, 1916"
411,"この家に枇杷の花咲けり我が親子今日からここにうつり住むなり : 新井洸 『微明』, 0000, 1916"
412,"霞降る身のまはりなる物のかげ濃く染まるまで灯を強くせよ : 新井洸 『微明』, 0000, 1916"
413,"氷雨降る小暗き部屋にうづくまり意地わろく人にへだてたらなむ : 新井洸 『微明』, 0000, 1916"
414,"霜ぐもりさびしく寒しかかる日は我がおくつきの水かへに来ね : 新井洸 『微明』, 0000, 1916"
415,"雪どけの雫のかげを日あたりの障子に見つつ薬あふぐも : 新井洸 『微明』, 0000, 1916"
416,"病み臥して昼を寝たればさめ際の眼にしむ灯こそさうざうしけれ : 新井洸 『微明』, 0000, 1916"
417,"茶の間の暗き灯かげに水蜜桃はめば妻が浴衣のまづしきをあはれ : 新井洸 『微明』, 0000, 1916"
418,"タまぐれ風そよそよと鳥が行く我がこのこころかへる家なし : 新井洸 『微明』, 0000, 1916"
419,"烏羽玉の夜のふけゆけばつかれひく明日をわびしみころぶすなりけり : 新井洸 『微明』, 0000, 1916"
420,"思ひあまり着のみ着のままごろ寝するものぐさき心妻知るらめや : 新井洸 『微明』, 0000, 1916"
421,"黄八丈繻子の襟せし風俗に品なほ高き母なりしかな : 新井洸 『微明』, 0000, 1916"
422,"棕櫚竹と君が姿とうつしたる鏡のいろの冷たき思ひ出 : 新井洸 『微明』, 0000, 1916"
423,"そむかれむ日の悲びをうれひつつ百日に足らぬ子をいだくなり : 新井洸 『微明』, 0000, 1916"
424,"我が妻の手づくね髪しつたなくも打乱るるを見つつ黙すも : 新井洸 『微明』, 0000, 1916"
425,"静かなる夜長夜さむにかぎりなきさんげの心あふれたるかな : 新井洸 『微明』, 0000, 1916"
426,"から梅雨の風吹きわたり大河の波の騒立ち閃けるかも : 新井洸 『微明』, 0000, 1916"
427,"夕映えのひかりうち乱れ潮疾し船子がおらびのいらだたしかも : 新井洸 『微明』, 0000, 1916"
428,"満ち潮のしほのあしはやみ船と船と触れなむとしてまた事もなし : 新井洸 『微明』, 0000, 1916"
429,"タ潮に乗り来る船の舳目くるめく我が鳩尾にあへて迫るも : 新井洸 『微明』, 0000, 1916"
430,"今は暮れてひたすら暗き河口におも梶と呼べり少年のこゑ : 新井洸 『微明』, 0000, 1916"
431,"小蒸汽の吹き棄つる湯気にあか暗き機関の室 : 新井洸 『微明』, 0000, 1916"
432,"ぬらぬらと油光りの機械にはともしちらめき : 新井洸 『微明』, 0000, 1916"
433,"引く潮にさからひ上る夜の帆は風を乏しび星空に垂る : 新井洸 『微明』, 0000, 1916"
434,"見ることの久しくしあれば夜の帆影湖にさからひしみじみ上る : 新井洸 『微明』, 0000, 1916"
435,"河岸の家にひとり寝に来て宵はやし遠稲光がらす戸に見ゆ : 新井洸 『微明』, 0000, 1916"
436,"横になれば水づたひ来るものの声奇しくさやに女わらへり : 新井洸 『微明』, 0000, 1916"
437,"新しき船のさし板檜いた朝日にてらふ波のただなか : 新井洸 『微明』, 0000, 1916"
438,"両岸の街には今朝は鯉職みなかみ遠くあまた見えつも : 新井洸 『微明』, 0000, 1916"
439,"ひつそりと米倉ならぶ河岸に来て鳥さしが吹くその鳥笛を : 新井洸 『微明』, 0000, 1916"
440,"水の上のタ映えのいろ早くさめ冷たく明し春浅みかも : 新井洸 『微明』, 0000, 1916"
441,"にごり雨小やみをなしも引き潮のしるき川床泥曝れにつつ : 新井洸 『微明』, 0000, 1916"
442,"豪雨の水ひた流れたり船は皆岸に身を寄せ息をころせり : 新井洸 『微明』, 0000, 1916"
443,"雪はれの朝のかがやき河ロの汽船の火夫もつれづれ見たり : 新井洸 『微明』, 0000, 1916"
444,"まんまんと凪ぎし日なれば汽船の波河一ぱいにひろがりゆくも : 新井洸 『微明』, 0000, 1916"
445,"町うらの沼田に見ればうらさびし繭屋の屋根の細き煙出し : 新井洸 『微明』, 0000, 1916"
446,"油桶の真鍮の箍日に照らふ水郷の町のはづれなりけり : 新井洸 『微明』, 0000, 1916"
447,"三叉の沖吹く風に白魚ひく帆影黝みて湖暮れむとす : 新井洸 『微明』, 0000, 1916"
448,"大湖のたたへのはてにあをあをし真菰の浮洲寂かなるかな : 新井洸 『微明』, 0000, 1916"
449,"湖尻のせばまりはてて江なせる水滑らかに月にあをめり : 新井洸 『微明』, 0000, 1916"
450,"浮洲のなか水の道せばくほの暗く月はまこもの根にきらめけり : 新井洸 『微明』, 0000, 1916"
451,"翅なき人にしあれば夜ふかく水に舟うけて月に遊べり : 新井洸 『微明』, 0000, 1916"
452,"大空も水もしめらひ蒼みたり月は遥けくはるけかりけり : 新井洸 『微明』, 0000, 1916"
453,"目瞑づれば忽ち暗き夜の底にひえびえと啼く虫の声かも : 新井洸 『微明』, 0000, 1916"
454,"洲の崎の芦生にまじるおもだかの水際に淀むうす明りはも : 新井洸 『微明』, 0000, 1916"
455,"錦木はか細けれどもくれなゐをいのちの限りこらしたらずや : 新井洸 『微明』, 0000, 1916"
456,"雲おもき日のタぐれの微あかり森林のうちにさえ沈むかも : 新井洸 『微明』, 0000, 1916"
457,"下りて来し駒の鈴が音タ冷えの山の空気に細くとよむも : 新井洸 『微明』, 0000, 1916"
458,"山ふかみ雪霜つよき苛げにいのちたもてる樹樹の梢かも : 新井洸 『微明』, 0000, 1916"
459,"湯の宿は未だ遠きを暮れちかみ雑木の膚のなま白けつつ : 新井洸 『微明』, 0000, 1916"
460,"曇り日のしかもたそがれ闃として笹原遠くひらけたるかな : 新井洸 『微明』, 0000, 1916"
461,"右ひだりすげなく広き笹原に夜とならむとすうなじ寒かり : 新井洸 『微明』, 0000, 1916"
462,"草鞋とけば白き土ふまず柔らかき出湯にひたし息づきにけり : 新井洸 『微明』, 0000, 1916"
463,"くろぐろと同行ねむる部屋ぬちに身じろけば湯の香ほのにほひつつ : 新井洸 『微明』, 0000, 1916"
464,"暁のくらく寒きに起きいでて此の山の湯にしづむかなしさ : 新井洸 『微明』, 0000, 1916"
465,"山深みひたとしみ入る朝寒にはだかとなれば湯の気親しも : 新井洸 『微明』, 0000, 1916"
466,"峡ふかく元湯湯の井をうかがへば朝寒を来し面ほてるかも : 新井洸 『微明』, 0000, 1916"
467,"湯の気凝りて白き地上を朝まだき木の下露の流れたるかも : 新井洸 『微明』, 0000, 1916"
468,"朝露の蔦の広葉つみて匂ひある出湯をむすび口にうつせり : 新井洸 『微明』, 0000, 1916"
469,"滝壷の茶屋の雨洩りいぶせみと焚火によればくゆる服かも : 新井洸 『微明』, 0000, 1916"
470,"雲走り青空見する風立ちに梢さやさや峡濡れ光る : 新井洸 『微明』, 0000, 1916"
471,"遠つ世の火ロの跡の焼原の砂のうへ行くいささ川かも : 新井洸 『微明』, 0000, 1916"
472,"滝岨の椛の梢の枝の間に晩秋の空よどみたり見ゆ : 新井洸 『微明』, 0000, 1916"
473,"滝をせぎる岩のこなたの断面は寂然として耳なき如し : 新井洸 『微明』, 0000, 1916"
474,"道きりてかけす鳴きしか雨となりし小暗き霧にまた見えずけり : 新井洸 『微明』, 0000, 1916"
475,"高山の霧のおそひにたゆたへば毛織ごろもは霜よりも白し : 新井洸 『微明』, 0000, 1916"
476,"悲し小禽つぐみがとはに閉ぢし眼に天のさ霧は触れむとすらむ : 新井洸 『微明』, 0000, 1916"
477,"軒ちかく向うの峰の裾引ける渓さやかなり月は出ぬらし : 新井洸 『微明』, 0000, 1916"
478,"木のもとの黄いろ落葉に枝の影しみみにおける月のよろしさ : 新井洸 『微明』, 0000, 1916"
479,"男体はすでに朝日ににほへどもこの渓さむく水たぎちつつ : 新井洸 『微明』, 0000, 1916"
480,"きらきらと今朝のあさ風落葉松の葉をまき散らす雨後のあかるさ : 新井洸 『微明』, 0000, 1916"
481,"豊秋の足穂のタ日遠寂ぶる一千年の大御寺かも : 新井洸 『微明』, 0000, 1916"
482,"薬師寺の塔のしら壁ましら壁ゆふかたまけてさぶくにほふも : 新井洸 『微明』, 0000, 1916"
483,"うつつなく流れただよふタ明り仏足石を見せたまひけり : 新井洸 『微明』, 0000, 1916"
484,"柿の実はタかたまけてはしやぐ児のまなこ円に靄にこもらず : 新井洸 『微明』, 0000, 1916"
485,"月読みのあかり露けき中空に鴟尾の甍のまさやかに見ゆ : 新井洸 『微明』, 0000, 1916"
486,"しづかなる南円堂の初更の灯たもとにまきて持ち帰らなむ : 新井洸 『微明』, 0000, 1916"
487,"沼尻に櫓立て並め大四つ手引きあぐるなり秋空の下 : 新井洸 『微明』, 0000, 1916"
488,"兎つるすももんぢい屋の店に見る姫神山の秋の雪はも : 新井洸 『微明』, 0000, 1916"
489,"紅の襷紅の前垂れ寒国のいろ白き子に似つけるもあはれ : 新井洸 『微明』, 0000, 1916"
490,"旅人と生れし町のよそ知らぬ子と逢ひし時何をいひきや : 新井洸 『微明』, 0000, 1916"
491,"くれなゐの踊り前垂れ解き放ちすなはち我に与へけるかな : 新井洸 『微明』, 0000, 1916"
492,"やや白む窓の破璃のうすじめり旅寝の朝の眼にすがしもよ : 新井洸 『微明』, 0000, 1916"
493,"真夜中の出船を待てばここの椅子に人多くなりていよよさびしも : 新井洸 『微明』, 0000, 1916"
494,"やはらかき船のふし床に疲れ寝て津軽の海を荒れしとも知らず : 新井洸 『微明』, 0000, 1916"
495,"波止場の路つまさき暗く空荒し人のうしろを見つめて行くも : 新井洸 『微明』, 0000, 1916"
496,"もの思ふ媼の涙さめざめと氷雨に濡るる古き郵船 : 新井洸 『微明』, 0000, 1916"
497,"行きゆけど行き果たさざる道なれかよもぎ枯れつつ続きてありけり : 新井洸 『微明』, 0000, 1916"
498,"ひさめ降る樺の林の木ぐれには板目ましろき小家まれに見ゆ : 新井洸 『微明』, 0000, 1916"
499,"熊笹の山の膚か遠ひろみ濃くなりて行く雨の道見ゆれ : 新井洸 『微明』, 0000, 1916"
500,"木立らはおびただしくも切られたりタ日さし入りはるかなるかな : 新井洸 『微明』, 0000, 1916"
501,"水ふかき神居古潭に靄立てば牙より白き二日月かも : 新井洸 『微明』, 0000, 1916"
502,"雪国の雪の夜ふけの灯にさびしな都育ちのうたひめの顔 : 新井洸 『微明』, 0000, 1916"
503,"あはれなる追分節よここゆまた遠くさすらひ家にかへらじ : 新井洸 『微明』, 0000, 1916"
504,"乗合ひの友の其の頬に雪あかりほのかに白く旅ごころ痛し : 新井洸 『微明』, 0000, 1916"
505,"車中に疲れ臥す時土地者の泥長靴の目よ離れずも : 新井洸 『微明』, 0000, 1916"
506,"降り足らぬ今朝の雪ぞら凍みまさり出帆の銅羅とどろこだます : 新井洸 『微明』, 0000, 1916"
507,"踊子の紅の前垂あはれにも旅の鞄に入りて来にけり : 新井洸 『微明』, 0000, 1916"
508,"をさならが窓のそともの騒ぎにも君とあるこころ乱れ苦しき : 新井洸 『微明』, 0000, 1916"
509,"ひたひたと夜のうしほの満ち潮のひたすに濡れぬ君がひとみに : 新井洸 『微明』, 0000, 1916"
510,"胸みちて二人もだせりおぎろなき死の大神肝をひやさむ : 新井洸 『微明』, 0000, 1916"
511,"くれぐれと世に頼りなきこのこころ君が前にをさも泣きかねつ : 新井洸 『微明』, 0000, 1916"
512,"たらちねの母にしもあらば温かき膝に顔よせ泣かましものを : 新井洸 『微明』, 0000, 1916"
513,"人間のいのちの奥のはづかしさ滲み来るかも君に対へば : 新井洸 『微明』, 0000, 1916"
514,"足り足らぬ何やらを追ふこの夜らの君とあるこころ時なさまたげ : 新井洸 『微明』, 0000, 1916"
515,"君に得し落つき心罅せじととぼとぼと行く小夜は更くれど : 新井洸 『微明』, 0000, 1916"
516,"もの深きこの落つきゆ一人行く道のすがらに涙こぼるる : 新井洸 『微明』, 0000, 1916"
517,"君に逢ひて今帰りつつ行方なくしかも惑へるこの愁ひはも : 新井洸 『微明』, 0000, 1916"
518,"一人思ふたのみをもとな是ぞこのあからさまなる何を知リてか : 新井洸 『微明』, 0000, 1916"
519,"目の前の我が手のひらと人ごころまさにうつつに見むよしもがも : 新井洸 『微明』, 0000, 1916"
520,"このへだて石に投げても丁と落ちていと砕けむものならなくに : 新井洸 『微明』, 0000, 1916"
521,"いでいかに思ひ定めむ流しやる木の葉も水も早く行くなり : 新井洸 『微明』, 0000, 1916"
522,"恋ひなづむ心おとろへ反故紙の知らぬ子の手蹟に涙ぐみけり : 新井洸 『微明』, 0000, 1916"
523,"紙ないふ頻にあつれば涙落つ我がおこたりを君知るらむか : 新井洸 『微明』, 0000, 1916"
524,"沈める水の深みのほの明りこころのさびれまなうらに見ゆ : 新井洸 『微明』, 0000, 1916"
525,"おのづからなるらむままにいかにともなれ君ならぬ人に何をも思はず : 新井洸 『微明』, 0000, 1916"
526,"秋の夜のともし灯ふけて物のくまほの暗ければ君が髪思ふ : 新井洸 『微明』, 0000, 1916"
527,"ややあをき頬にかかれる髪もあれきれ長まみの俯目かなしも : 新井洸 『微明』, 0000, 1916"
528,"小夜ふけて眠るといふもうつつなく君がひとみに沈みゆくこと : 新井洸 『微明』, 0000, 1916"
529,"この頃の夜毎のねざめ秋しづけく君をおもふに限りなきかな : 新井洸 『微明』, 0000, 1916"
530,"いねがてに冷え切りし手を額におく涙ながれてとどまらぬかな : 新井洸 『微明』, 0000, 1916"
531,"死にかへりひびきを絶えしうしほ波うねりにうねリまなかひにあり : 新井洸 『微明』, 0000, 1916"
532,"狂ほしき夢のとぎれに大川の夜半の沈まりのひたと迫れり : 新井洸 『微明』, 0000, 1916"
533,"がらす戸の窓のそともに大川の夜半のしじまのすぐ立てるかも : 新井洸 『微明』, 0000, 1916"
534,"秋の夜の水のさむけさ糊白き衾にしみ来ともし灯消さむ : 新井洸 『微明』, 0000, 1916"
535,"がらすの薄き器に雫落ちこのさ夜なかに満ちみてりけり : 新井洸 『微明』, 0000, 1916"
536,"此のままに寝つかむとすれば河ロの汽船の笛のほのにとよむも : 新井洸 『微明』, 0000, 1916"
537,"秋の夜のかかるしじまに胸せまり我は覚むとも人な目ざめそ : 新井洸 『微明』, 0000, 1916"
538,"大空に月は照りたり遠つ人息のぬくみのここにかよはな : 新井洸 『微明』, 0000, 1916"
539,"すみあかき月の光に歩みほけうつらうつらにゆかしみにけり : 新井洸 『微明』, 0000, 1916"
540,"おのが身を小さくきたなく価なくおもひ詰むらく恋は退かず : 新井洸 『微明』, 0000, 1916"
541,"じりじりに思ふおもひのしみうつりいかにか人に我がつらからむ : 新井洸 『微明』, 0000, 1916"
542,"君のごと恋ひ思はるる人ありと知れらば誰か嫉みにをたへむ : 新井洸 『微明』, 0000, 1916"
543,"打負きしのぶに強きわが心君にえたへずた破れぬべく思ふ : 新井洸 『微明』, 0000, 1916"
544,"今宵また眠り安からずかくてつづく疲れのはても恐しきかな : 新井洸 『微明』, 0000, 1916"
545,"このままに気ちがひにならばいかならむ人を見わけてロ走りせむ : 新井洸 『微明』, 0000, 1916"
546,"我が行きしにあかりが点きし人の部屋の宵の寒さのなつかしきかな : 新井洸 『微明』, 0000, 1916"
547,"菊の花灯かげに白く夜を寒み君が素足のいとほしきかな : 新井洸 『微明』, 0000, 1916"
548,"君が母の打ちとけて我を待ちたまふ憂き恋故に悲しかりけり : 新井洸 『微明』, 0000, 1916"
549,"物さびしく二人親み長き夜を熟き紅茶の香をめでにつつ : 新井洸 『微明』, 0000, 1916"
550,"だありやの霜にくづるる朝寒に心わななくなつかしなつかし : 新井洸 『微明』, 0000, 1916"
551,"冬の日の日されの砂に打まみれ心あらさじただにうとくば : 新井洸 『微明』, 0000, 1916"
552,"からからと宵の寒さの刻みあし聞けばえ堪へず恋しきものを : 新井洸 『微明』, 0000, 1916"
553,"冬ぬるむ初夜のしじまにこもり居て息づきぬとも知る人はなし : 新井洸 『微明』, 0000, 1916"
554,"寒き夜をひとりさびしく思ひふけ立てば帯さへほどけぬるかな : 新井洸 『微明』, 0000, 1916"
555,"追ひ来りのび上り立ちて爪かくる大きけものをのがれかねつも : 新井洸 『微明』, 0000, 1916"
556,"合歓の葉はしぼみはてしを灯ともさず端居に見ればすずしき君が目 : 新井洸 『微明』, 0000, 1916"
557,"雲白き夏のゆふべのあかるさに我のみ見たる君がゑまひか : 新井洸 『微明』, 0000, 1916"
558,"日の暮を風船売の残りもの風船玉の夕明かな : 新井洸 『微明』, 0000, 1916"
559,"久方の空晴れわたり風もなし一片の雲うすれうすれ消ゆ : 新井洸 『微明』, 0000, 1916"
560,"郵便馬車ぬらりと赤し氷屋の店さきの灯に粉雨久しも : 新井洸 『微明』, 0000, 1916"
561,"ちろちちろ虫の音さやに闇ふかしたちまち啼きて飛べる蝉かも : 新井洸 『微明』, 0000, 1916"
562,"二百十日の朝あけの空に町尻の工場の笛ひきもまれ居り : 新井洸 『微明』, 0000, 1916"
563,"うす寒き雨の曇リに木蓮は狼籍として散りて光れり : 新井洸 『微明』, 0000, 1916"
564,"雪解けの赤土道に昼ちかき光まつかにながれたるかも : 新井洸 『微明』, 0000, 1916"
565,"桜田のお濠の堤枯芝に雁居ならびて日なたぼこせり : 新井洸 『微明』, 0000, 1916"
566,"髭黒の鼠取り路地を出でにけり荷へる鑵に朝風が寒し : 新井洸 『微明』, 0000, 1916"
567,"水門の木戸に降りつつ水づける雪さへ白み日はタべなり : 新井洸 『微明』, 0000, 1916"
568,"潮そこる材木堀の巨材のうへ眩き昼の風を聞 : 新井洸 『微明』, 0000, 1916"
569,"理髪師は朝戸あけつつ白百合の鉢持て出でぬ街の露けさ : 新井洸 『微明』, 0000, 1916"
570,"はつ冬の空すみあかき宵月に並木広葉はかぐろかりけり : 新井洸 『微明』, 0000, 1916"
571,"をさな児の頬のおしろい寒げにもこの元日のたそがれにけり : 新井洸 『微明』, 0000, 1916"
572,"真昼間の煙突の黒けぶりわき上りわき上りやすからぬかも : 新井洸 『微明』, 0000, 1916"
573,"ああ今日も小ぬくき家に帰らなむさびしく一人父の待つなり : 新井洸 『微明』, 0000, 1916"
574,"さ夜ふかく暑さもあつし高台の病院の窓に煌たる灯かな : 新井洸 『微明』, 0000, 1916"
575,"襲雨来る曇りの街にけたたましく玻璃倒れて破れ響きたり : 新井洸 『微明』, 0000, 1916"
576,"小間物屋おもちや屋の灯に人なかに隣の桝の娘のめづらしさ : 新井洸 『微明』, 0000, 1916"
577,"あづけたる帽子もかへり所作事の幕あかむとす何かさびしや : 新井洸 『微明』, 0000, 1916"
578,"うなじ白きこの幼きが裾からげお百度踏めり母と祖母と : 新井洸 『微明』, 0000, 1916"
579,"敷石のうへか行きかくゆき久しけど素足音なしおごそかなりや : 新井洸 『微明』, 0000, 1916"
580,"おごそかにお百度を踏め白髪の祖母は咳をこらへかねつも : 新井洸 『微明』, 0000, 1916"
581,"朝まだき風は秋なり神前に祈らねばならぬ事なきか我は : 新井洸 『微明』, 0000, 1916"
582,"病院を訪はむとしつつ街に見し紅屋の旗は日に麗らなり : 新井洸 『微明』, 0000, 1916"
583,"病室の日のあらはなれば君が類にさすくれなゐをすべなくも見し : 新井洸 『微明』, 0000, 1916"
584,"やはらかく白くふくらむ枕べにうし紅の貝おかれけるかな : 新井洸 『微明』, 0000, 1916"
585,"何に触れし心ぞや我は夢うつつ現ともなき静けさの底に : 新井洸 『微明』, 0000, 1916"
586,"街のとよみひたと途絶えし真夜中にまことほつつり覚めにけらしも : 新井洸 『微明』, 0000, 1916"
587,"さえざえと既に覚めたる目つぶりてとらへねばならぬ何物のあり : 新井洸 『微明』, 0000, 1916"
588,"たたなはる暗のおくかに目ひらけばとらへかねたる声音なりけり : 新井洸 『微明』, 0000, 1916"
589,"霜こほる小夜のちまたに澄みやかに声をそろへて打つか鶴嘴 : 新井洸 『微明』, 0000, 1916"
590,"お濠のその水近み風落ちしこの夜をふかみ声のすむらむ : 新井洸 『微明』, 0000, 1916"
591,"大土の深き眠りにちやうちやうと打ち入るかもよその鶴嘴を : 新井洸 『微明』, 0000, 1916"
592,"骨立ちて既に掘られし枕木にいかに冷たき夜の霜ならむ : 新井洸 『微明』, 0000, 1916"
593,"地上にはかんてらの灯のはだか灯のゆらゆら燃えて暗き夜ならし : 新井洸 『微明』, 0000, 1916"
594,"御影のかどある石に触れぬらむその手のひらよ霜のちまたに : 新井洸 『微明』, 0000, 1916"
595,"まがなしみ眼つぶれば枕の下とほどほにして声のさやけさ : 新井洸 『微明』, 0000, 1916"
596,"横になりてものを思へば肩さきのうすらに寒き夜となりにけり : 新井洸 『微明』, 0000, 1916"
597,"あかりさす障子あくれば秋ふかき夜庭のさむさ流れ入り来も : 新井洸 『微明』, 0000, 1916"
598,"花瓶の白菊かをる夜の寒さ肝油にしみし膚にかなしも : 新井洸 『微明』, 0000, 1916"
599,"このおほ地ほのぼの春の日に酔へり我がうつし身をいかがすべけむ : 新井洸 『微明』, 0000, 1916"
600,"ひとり身の嘆きをおもみ静かなる四月の空の滓を苦めり : 新井洸 『微明』, 0000, 1916"
601,"春の日の光おもたくひとり居る我が心臓にのしかかりたり : 新井洸 『微明』, 0000, 1916"
602,"ひとりを歯がみて堪ゆれ日輪の光はくろく煤けたるかな : 新井洸 『微明』, 0000, 1916"
603,"鼻血が出たるばかりに灯の前に心しほたれ眠らむと思ふ : 新井洸 『微明』, 0000, 1916"
604,"夜あけ近くやや冴えぬると肉身のいとあまりにもすなほなるかな : 新井洸 『微明』, 0000, 1916"
605,"小さなる地震ゆり景色との曇り我が気不精の虫がかぶれる : 新井洸 『微明』, 0000, 1916"
606,"むくつけき心のくらみ此ままに土の底にも入らむとぞ思ふ : 新井洸 『微明』, 0000, 1916"
607,"人の文けしうよごれて十日あり無慙のこころ筆を執らざる : 新井洸 『微明』, 0000, 1916"
608,"置き馴れし箪笥のあとのしらしらとあまり明るき秋の日ざしか : 新井洸 『微明』, 0000, 1916"
609,"移り来し荷の緒ちらばる家のうちに夕靄さぶくしのび来にけり : 新井洸 『微明』, 0000, 1916"
610,"疲れつつ冴ゆる心に灯くらく塵のくゆりの重く迷へり : 新井洸 『微明』, 0000, 1916"
611,"住み馴れぬ家ぬちの心いつ更けし青の寒さにをののきにけり : 新井洸 『微明』, 0000, 1916"
612,"空けし家の庭の椿のしろき塵こよひの雨に消えゆくらむか : 新井洸 『微明』, 0000, 1916"
613,"いかならむ人か棲みしとこの隈の釘をこじ抜く其根錆びたり : 新井洸 『微明』, 0000, 1916"
614,"たそがれと暮れゆく時を背のびして釘かしましく打つがわびしも : 新井洸 『微明』, 0000, 1916"
615,"襟ほそき御嶽行者の養ひ娘今は二十歳を越したるならむ : 新井洸 『微明』, 0000, 1916"
616,"いかばかり衰へはてし心かも御獄行者に占へしめけむ : 新井洸 『微明』, 0000, 1916"
617,"おのれを果敢なみ居たれ一年もたのみ難しと聞くに堪へめや : 新井洸 『微明』, 0000, 1916"
618,"おのが身をうれひはかなみ痴しきまどはし言にいや歎かひし : 新井洸 『微明』, 0000, 1916"
619,"罪止云布罪波不在[つみといふつみはあらじ]と奏す時男行者のこゑのよろしさ : 新井洸 『微明』, 0000, 1916"
620,"深川の路地の暗きを出でけらし行者の娘かほよかりしか : 新井洸 『微明』, 0000, 1916"
621,"病院の夜の廊下に佇める面会人か我が姿はも : 新井洸 『微明』, 0000, 1916"
622,"山ちかき夜の底冷え薬の香面会人はしづ心なし : 新井洸 『微明』, 0000, 1916"
623,"病院のさむき灯かげに白絹の一点のしみを悲しめりけり : 新井洸 『微明』, 0000, 1916"
624,"この家に枇杷の花咲けり我が親子今日からここにうつり住むなり : 新井洸 『微明』, 0000, 1916"
625,"霞降る身のまはりなる物のかげ濃く染まるまで灯を強くせよ : 新井洸 『微明』, 0000, 1916"
626,"氷雨降る小暗き部屋にうづくまり意地わろく人にへだてたらなむ : 新井洸 『微明』, 0000, 1916"
627,"霜ぐもりさびしく寒しかかる日は我がおくつきの水かへに来ね : 新井洸 『微明』, 0000, 1916"
628,"雪どけの雫のかげを日あたりの障子に見つつ薬あふぐも : 新井洸 『微明』, 0000, 1916"
629,"病み臥して昼を寝たればさめ際の眼にしむ灯こそさうざうしけれ : 新井洸 『微明』, 0000, 1916"
630,"茶の間の暗き灯かげに水蜜桃はめば妻が浴衣のまづしきをあはれ : 新井洸 『微明』, 0000, 1916"
