,0
58,"柿の実はタかたまけてはしやぐ児のまなこ円に靄にこもらず : 新井洸 『微明』, 0000, 1916"
59,"月読みのあかり露けき中空に鴟尾の甍のまさやかに見ゆ : 新井洸 『微明』, 0000, 1916"
60,"しづかなる南円堂の初更の灯たもとにまきて持ち帰らなむ : 新井洸 『微明』, 0000, 1916"
61,"沼尻に櫓立て並め大四つ手引きあぐるなり秋空の下 : 新井洸 『微明』, 0000, 1916"
62,"兎つるすももんぢい屋の店に見る姫神山の秋の雪はも : 新井洸 『微明』, 0000, 1916"
63,"紅の襷紅の前垂れ寒国のいろ白き子に似つけるもあはれ : 新井洸 『微明』, 0000, 1916"
64,"旅人と生れし町のよそ知らぬ子と逢ひし時何をいひきや : 新井洸 『微明』, 0000, 1916"
65,"くれなゐの踊り前垂れ解き放ちすなはち我に与へけるかな : 新井洸 『微明』, 0000, 1916"
66,"やや白む窓の破璃のうすじめり旅寝の朝の眼にすがしもよ : 新井洸 『微明』, 0000, 1916"
67,"真夜中の出船を待てばここの椅子に人多くなりていよよさびしも : 新井洸 『微明』, 0000, 1916"
68,"やはらかき船のふし床に疲れ寝て津軽の海を荒れしとも知らず : 新井洸 『微明』, 0000, 1916"
69,"波止場の路つまさき暗く空荒し人のうしろを見つめて行くも : 新井洸 『微明』, 0000, 1916"
70,"もの思ふ媼の涙さめざめと氷雨に濡るる古き郵船 : 新井洸 『微明』, 0000, 1916"
71,"行きゆけど行き果たさざる道なれかよもぎ枯れつつ続きてありけり : 新井洸 『微明』, 0000, 1916"
72,"ひさめ降る樺の林の木ぐれには板目ましろき小家まれに見ゆ : 新井洸 『微明』, 0000, 1916"
73,"熊笹の山の膚か遠ひろみ濃くなりて行く雨の道見ゆれ : 新井洸 『微明』, 0000, 1916"
74,"木立らはおびただしくも切られたりタ日さし入りはるかなるかな : 新井洸 『微明』, 0000, 1916"
75,"水ふかき神居古潭に靄立てば牙より白き二日月かも : 新井洸 『微明』, 0000, 1916"
76,"雪国の雪の夜ふけの灯にさびしな都育ちのうたひめの顔 : 新井洸 『微明』, 0000, 1916"
77,"あはれなる追分節よここゆまた遠くさすらひ家にかへらじ : 新井洸 『微明』, 0000, 1916"
78,"乗合ひの友の其の頬に雪あかりほのかに白く旅ごころ痛し : 新井洸 『微明』, 0000, 1916"
79,"車中に疲れ臥す時土地者の泥長靴の目よ離れずも : 新井洸 『微明』, 0000, 1916"
80,"降り足らぬ今朝の雪ぞら凍みまさり出帆の銅羅とどろこだます : 新井洸 『微明』, 0000, 1916"
81,"踊子の紅の前垂あはれにも旅の鞄に入りて来にけり : 新井洸 『微明』, 0000, 1916"
82,"をさならが窓のそともの騒ぎにも君とあるこころ乱れ苦しき : 新井洸 『微明』, 0000, 1916"
83,"ひたひたと夜のうしほの満ち潮のひたすに濡れぬ君がひとみに : 新井洸 『微明』, 0000, 1916"
84,"胸みちて二人もだせりおぎろなき死の大神肝をひやさむ : 新井洸 『微明』, 0000, 1916"
85,"くれぐれと世に頼りなきこのこころ君が前にをさも泣きかねつ : 新井洸 『微明』, 0000, 1916"
86,"たらちねの母にしもあらば温かき膝に顔よせ泣かましものを : 新井洸 『微明』, 0000, 1916"
87,"人間のいのちの奥のはづかしさ滲み来るかも君に対へば : 新井洸 『微明』, 0000, 1916"
88,"足り足らぬ何やらを追ふこの夜らの君とあるこころ時なさまたげ : 新井洸 『微明』, 0000, 1916"
89,"君に得し落つき心罅せじととぼとぼと行く小夜は更くれど : 新井洸 『微明』, 0000, 1916"
90,"もの深きこの落つきゆ一人行く道のすがらに涙こぼるる : 新井洸 『微明』, 0000, 1916"
91,"君に逢ひて今帰りつつ行方なくしかも惑へるこの愁ひはも : 新井洸 『微明』, 0000, 1916"
